id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
640,bajaj_finance_nse,BAJFINANCE.BO,0,NULL,BAJFINANCE,NULL,NSE:BAJFINANCE-EQ,0
641,bajaj_finance,BAJFINANCE.NS,1,NULL,BAJFINANCE,81153,NSE:BAJFINANCE-EQ,0
642,bajaj_finserv,BAJAJFINSV.NS,1,NULL,BAJAJFINSV,4268801,NSE:BAJAJFINSV-EQ,0
643,bandhan_bank,BANDHANBNK.NS,1,NULL,BANDHANBNK,579329,NSE:BANDHANBNK-EQ,0
644,bank_of_baroda,BANKBARODA.NS,1,NULL,BANKBARODA,1195009,NSE:BANKBARODA-EQ,0
647,bharat_forge,BHARATFORG.NS,1,NULL,BHARATFORG,108033,NSE:BHARATFORG-EQ,0
649,bharti_airtel_nse,BHARTIARTL.BO,0,NULL,TTL,NULL,NULL,0
651,bosch,BOSCHLTD.NS,1,NULL,BOSCHLTD,558337,NSE:BOSCHLTD-EQ,1
652,britannia_industries,BRITANNIA.NS,1,NULL,BRITANNIA,140033,NSE:BRITANNIA-EQ,1
653,canara_bank,CANBK.NS,1,NULL,CANBK,2763265,NSE:CANBK-EQ,0
654,cholamandalam_investment,CHOLAFIN.NS,1,NULL,CHOLAFIN,175361,NSE:CHOLAFIN-EQ,0
655,cipla,CIPLA.NS,1,NULL,CIPLA,177665,NSE:CIPLA-EQ,0
656,coal_india_nse,COALINDIA.BO,1,NULL,COALINDIA,5215745,NSE:COALINDIA-EQ,0
658,colgate_palmolive,COLPAL.NS,1,NULL,COLPAL,3876097,NSE:COLPAL-EQ,0
659,dabur,DABUR.NS,1,NULL,DABUR,197633,NSE:DABUR-EQ,0
660,divis_laboratories,DIVISLAB.NS,1,NULL,DIVISLAB,2800641,NSE:DIVISLAB-EQ,0
661,dixon_technologies,DIXON.NS,1,NULL,DIXON,5552641,NSE:DIXON-EQ,1
662,dr_reddys_laboratories,DRREDDY.NS,1,NULL,DRREDDY,225537,NSE:DRREDDY-EQ,0
663,eicher_motors,EICHERMOT.NS,1,NULL,EICHERMOT,232961,NSE:EICHERMOT-EQ,1
665,godrej_consumer,GODREJCP.NS,1,NULL,GODREJCP,2585345,NSE:GODREJCP-EQ,0
666,grasim_industries,GRASIM.NS,1,NULL,GRASIM,315393,NSE:GRASIM-EQ,0
667,hcl_technologies_nse,HCLTECH.BO,0,NULL,HCLTECH,NULL,NSE:HCLTECH-EQ,0
668,hcl_technologies,HCLTECH.NS,1,NULL,HCLTECH,1850625,NSE:HCLTECH-EQ,0
669,hdfc,HDFC.NS,0,NULL,HDFC,NULL,NULL,0
670,hdfc_asset_management,HDFCAMC.NS,1,NULL,HDFCAMC,1086465,NSE:HDFCAMC-EQ,1
671,hdfc_bank_nse,HDFCBANK.BO,0,NULL,NULL,NULL,NULL,0
673,hdfc_life_nse,HDFCLIFE.BO,0,NULL,NULL,NULL,NULL,0
674,hdfc_life,HDFCLIFE.NS,1,NULL,HDFCLIFE,119553,NSE:HDFCLIFE-EQ,0
675,hero_motocorp,HEROMOTOCO.NS,1,NULL,HEROMOTOCO,345089,NSE:HEROMOTOCO-EQ,1
676,hindalco_industries,HINDALCO.NS,1,NULL,HINDALCO,348929,NSE:HINDALCO-EQ,0
677,hindustan_aeronautics,HAL.NS,1,NULL,HAL,589569,NSE:HAL-EQ,1
678,hindustan_petroleum,HINDPETRO.NS,1,NULL,HINDPETRO,359937,NSE:HINDPETRO-EQ,0
679,hindustan_unilever_nse,HINDUNILVR.BO,0,NULL,HINDUNILVR,NULL,NSE:HINDUNILVR-EQ,0
681,icici_bank_nse,ICICIBANK.BO,0,NULL,NULL,NULL,NULL,0
683,icici_lombard_gic,ICICIGI.NS,1,NULL,ICICIGI,5573121,NSE:ICICIGI-EQ,0
684,icici_prudential_life,ICICIPRULI.NS,1,NULL,ICICIPRULI,4774913,NSE:ICICIPRULI-EQ,0
686,itc_nse,ITC.BO,0,NULL,ITC,NULL,NSE:ITC-EQ,0
688,indigo,INDIGO.NS,1,NULL,INDIGO,2865921,NSE:INDIGO-EQ,1
689,indraprastha_gas,IGL.NS,1,NULL,IGL,2883073,NSE:IGL-EQ,0
691,indus_towers,INDUSTOWER.NS,1,NULL,INDUSTOWER,7458561,NSE:INDUSTOWER-EQ,0
692,infosys_nse,INFY.BO,0,NULL,INFY,NULL,NSE:INFY-EQ,0
694,jsw_steel_nse,JSWSTEEL.BO,0,NULL,TTL,NULL,NULL,0
696,jubilant_foodworks,JUBLFOOD.NS,1,NULL,JUBLFOOD,4632577,NSE:JUBLFOOD-EQ,0
697,kotak_bank_nse,KOTAKBANK.BO,0,NULL,TTL,NULL,NULL,0
698,kotak_bank,KOTAKBANK.NS,1,NULL,KOTAKBANK,492033,NSE:KOTAKBANK-EQ,0
700,l_t_technology_services,LTTS.NS,1,NULL,LTTS,4752385,NSE:LTTS-EQ,1
701,larsen_toubro_nse,LT.BO,0,NULL,TTL,NULL,NULL,0
702,larsen_toubro,LT.NS,1,NULL,LT,2939649,NSE:LT-EQ,1
703,mahindra_mahindra_nse,M_M.BO,0,NULL,M&M,NULL,NSE:M&M-EQ,0
704,mahindra_mahindra,M&M.NS,1,NULL,M&M,519937,NSE:M&M-EQ,0
705,marico,MARICO.NS,1,NULL,MARICO,1041153,NSE:MARICO-EQ,0
706,maruti_suzuki,MARUTI.NS,1,NULL,MARUTI,2815745,NSE:MARUTI-EQ,1
707,mphasis,MPHASIS.NS,1,NULL,MPHASIS,1152769,NSE:MPHASIS-EQ,0
708,nmdc,NMDC.NS,1,NULL,NMDC,3924993,NSE:NMDC-EQ,0
709,ntpc_nse,NTPC.BO,1,NULL,NTPC,2977281,NSE:NTPC-EQ,0
711,nestle_india_nse,NESTLEIND.BO,0,NULL,TTL,NULL,NULL,0
712,nestle_india,NESTLEIND.NS,1,NULL,NESTLEIND,4598529,NSE:NESTLEIND-EQ,1
714,pi_industries,PIIND.NS,1,NULL,PIIND,6191105,NSE:PIIND-EQ,1
715,page_industries,PAGEIND.NS,1,NULL,PAGEIND,3689729,NSE:PAGEIND-EQ,1
